Sample	Study	Site	Country	Lat	Long	Year	ENA	All samples same individual	Population	% callable	QC pass	Exclusion reason	Is returning traveller
PH0364-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039214	PH0364-C	ESEA	89.49	True	Analysis_set	False
PF0225-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2010	ERR045589	PF0225-C	WAF	90.02	True	Analysis_set	False
QG0269-C	1052-PF-TRAC-WHITE	Kinshasa	Congo DR	-4.36939	15.320977	2013	ERR426116	QG0269-C	CAF	90.12	True	Analysis_set	False
PH0370-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039220	PH0370-C	ESEA	89.3	True	Analysis_set	False
PT0133-C	1022-PF-MW-OCHOLLA	Chikwawa	Malawi	-16.193575	34.7715	2011	ERR226430	PT0133-C	EAF	90.55	True	Analysis_set	False
PF0811-C	1094-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2013	ERR450051	PF0811-C	WAF	89.92	True	Analysis_set	False
PF0742-C	1094-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2013	ERR450053	PF0742-C	WAF	89.64	True	Analysis_set	False
PV0278-C	1052-PF-TRAC-WHITE	Binh Phuoc	Viet Nam	11.7184	106.832469	2011	ERR171571	PV0278-C	ESEA	89.08	True	Analysis_set	False
PH0462-C	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2010	ERR039862	PH0462-C	ESEA	89.6	True	Analysis_set	False
PF0625-C	1083-PF-GH-CONWAY	Kintampo	Ghana	8.0564	-1.72446	2012	ERR343100	PF0625-C	WAF	90.59	True	Analysis_set	False
PH0801-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171637	PH0801-C	ESEA	81.11	True	Analysis_set	False
PT0242-C	1022-PF-MW-OCHOLLA	Chikwawa	Malawi	-16.193575	34.7715	2011	ERR237399	PT0242-C,PT0242-Cx	EAF	90.37	True	Analysis_set	False
PA0093-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018950	PA0093-C	WAF	88.71	True	Analysis_set	False
PH0498-C	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2009	ERR211555	PH0498-C,PH0498-CW	ESEA	90.26	True	Analysis_set	False
PH0361-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039211	PH0361-C	ESEA	89.79	True	Analysis_set	False
PA0018-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR015341	PA0018-C	WAF	89.72	True	Analysis_set	False
PA0075-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR019849	PA0075-C	WAF	88.95	True	Analysis_set	False
PF0706-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR403202	PF0706-C	WAF	89.92	True	Analysis_set	False
PF0785-C	1094-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2013	ERR450099	PF0785-C	WAF	87.99	True	Analysis_set	False
PV0340-C	1052-PF-TRAC-WHITE	Binh Phuoc	Viet Nam	11.7184	106.832469	2011	ERR426011	PV0340-C	ESEA	87.16	True	Analysis_set	False
PH0306-C	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2010	ERR039904	PH0306-C	ESEA	89.51	True	Analysis_set	False
PF0248-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2010	ERR035360	PF0248-C	WAF	90.17	True	Analysis_set	False
PM0074-C	1001-PF-ML-DJIMDE	Kolle	Mali	12.5546	-7.99805	2007	ERR015391	PM0074-C	WAF	86.94	True	Analysis_set	False
PT0041-C	1022-PF-MW-OCHOLLA	Chikwawa	Malawi	-16.193575	34.7715	2011	ERR054074	PT0041-C	EAF	89.73	True	Analysis_set	False
PH0820-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	12.899497	102.629356	2011	ERR175495	PH0820-C	ESEA	90.16	True	Analysis_set	False
PH0060-C	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2009	ERR015430	PH0060-C	ESEA	77.51	True	Analysis_set	False
PR0157-C	1052-PF-TRAC-WHITE	Ramu	Bangladesh	21.43199	92.101	2012	ERR404229	PR0157-C	SAS	87.82	True	Analysis_set	False
PH0758-C	1052-PF-TRAC-WHITE	Preah Vihear	Cambodia	14.019356	104.842071	2011	ERR171615	PH0758-C	ESEA	80.84	True	Analysis_set	False
PA0207-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR059397	PA0207-C	WAF	90.45	True	Analysis_set	False
QE0403-Cx	1052-PF-TRAC-WHITE	Attapeu	Laos	14.819445000000002	106.820705	2011	ERR404176	QE0403-Cx	ESEA	87.78	True	Analysis_set	False
PF0493-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2010	ERR114367	PF0493-C	WAF	90.34	True	Analysis_set	False
QG0258-C	1052-PF-TRAC-WHITE	Kinshasa	Congo DR	-4.36939	15.320977	2013	ERR426073	QG0258-C	CAF	83.29	True	Analysis_set	False
PH0525-C	1052-PF-TRAC-WHITE	Preah Vihear	Cambodia	14.019356	104.842071	2011	ERR063630	PH0525-C	ESEA	89.71	True	Analysis_set	False
PT0218-C	1022-PF-MW-OCHOLLA	Chikwawa	Malawi	-16.193575	34.7715	2011	ERR237428	PT0218-C,PT0218-Cx	EAF	90.48	True	Analysis_set	False
PM0136-C	1001-PF-ML-DJIMDE	Faladje	Mali	13.1333	-8.3333	2007	ERR015435	PM0136-C	WAF	88.99	True	Analysis_set	False
PH0936-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2012	ERR234512	PH0936-C,PH0936-Cx	ESEA	88.71	True	Analysis_set	False
PH0278-CW	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2010	ERR043319	PH0263-C,PH0278-CW,PH0297-C	ESEA	89.52	True	Analysis_set	False
PH0692-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	12.372197	103.633575	2011	ERR175479	PH0692-C	ESEA	80.46	True	Analysis_set	False
PD0584-C	1052-PF-TRAC-WHITE	Ranong	Thailand	9.998606	98.700714	2012	ERR248939	PD0584-C,PD0584-Cx	WSEA	90.27	True	Analysis_set	False
PF0261-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2010	ERR042696	PF0261-C	WAF	73.0	True	Analysis_set	False
PA0221-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR055501	PA0221-C	WAF	90.17	True	Analysis_set	False
PF0337-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2011	ERR039945	PF0337-C	WAF	89.09	True	Analysis_set	False
PH0521-C	1052-PF-TRAC-WHITE	Preah Vihear	Cambodia	14.019356	104.842071	2011	ERR067572	PH0521-C	ESEA	90.25	True	Analysis_set	False
PA0047-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023680	PA0047-C	WAF	82.93	True	Analysis_set	False
PR0148-C	1052-PF-TRAC-WHITE	Ramu	Bangladesh	21.43199	92.101	2012	ERR426000	PR0148-C	SAS	86.95	True	Analysis_set	False
PH0871-C	1052-PF-TRAC-WHITE	Preah Vihear	Cambodia	14.019356	104.842071	2012	ERR216612	PH0871-C	ESEA	90.21	True	Analysis_set	False
PF0449-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2011	ERR216458	PF0449-C	WAF	90.51	True	Analysis_set	False
PH0194-C	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2010	ERR022927	PH0194-C,PH0257-C,PH0272-C,PH0291-C	ESEA	89.77	True	Analysis_set	False
PD0481-C	1052-PF-TRAC-WHITE	Mae Sot	Thailand	16.771015	98.704491	2012	ERR164698	PD0481-C	WSEA	90.21	True	Analysis_set	False
PH0354-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039204	PH0354-C	ESEA	89.61	True	Analysis_set	False
PD0659-C	1052-PF-TRAC-WHITE	Sisakhet	Thailand	14.774883	104.46579	2012	ERR426034	PD0659-C	ESEA	89.18	True	Analysis_set	False
PD0524-C	1052-PF-TRAC-WHITE	Mae Sot	Thailand	16.771015	98.704491	2012	ERR221496	PD0524-C	WSEA	90.41	True	Analysis_set	False
PH0540-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	12.372197	103.633575	2011	ERR205937	PH0540-C	ESEA	86.94	True	Analysis_set	False
PA0134-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR063600	PA0134-C	WAF	90.47	True	Analysis_set	False
PD0571-C	1052-PF-TRAC-WHITE	Mae Sot	Thailand	16.771015	98.704491	2012	ERR216541	PD0571-C	WSEA	90.11	True	Analysis_set	False
PH0586-C	1052-PF-TRAC-WHITE	Preah Vihear	Cambodia	14.019356	104.842071	2011	ERR123844	PH0586-C	ESEA	88.88	True	Analysis_set	False
PM0062-C	1001-PF-ML-DJIMDE	Kolle	Mali	12.5546	-7.99805	2007	ERR015425	PM0062-C	WAF	87.28	True	Analysis_set	False
PH0347-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039197	PH0347-C	ESEA	89.91	True	Analysis_set	False
PV0312-C	1052-PF-TRAC-WHITE	Binh Phuoc	Viet Nam	11.7184	106.832469	2012	ERR216545	PV0312-C	ESEA	90.15	True	Analysis_set	False
QE0444-C	1052-PF-TRAC-WHITE	Attapeu	Laos	14.819445000000002	106.820705	2011	ERR216564	QE0444-C	ESEA	90.22	True	Analysis_set	False
PH0300-C	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2010	ERR039916	PH0266-C,PH0281-CW,PH0300-C	ESEA	89.8	True	Analysis_set	False
QC0213-C	1052-PF-TRAC-WHITE	Bago	Myanmar	18.312811	96.170654	2012	ERR246579	QC0213-C,QC0213-Cx	WSEA	89.19	True	Analysis_set	False
PH0776-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171626	PH0776-C	ESEA	79.47	True	Analysis_set	False
QG0228-C	1052-PF-TRAC-WHITE	Kinshasa	Congo DR	-4.36939	15.320977	2013	ERR426001	QG0228-C	CAF	73.27	True	Analysis_set	False
PH0357-C	1044-PF-KH-FAIRHURST	Ratanakiri	Cambodia	13.86208	107.09701499999998	2010	ERR039207	PH0357-C	ESEA	89.92	True	Analysis_set	False
PF0694-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376191	PF0694-C	WAF	87.62	True	Analysis_set	False
PT0262-C	1022-PF-MW-OCHOLLA	Chikwawa	Malawi	-16.193575	34.7715	2011	ERR248960	PT0262-C,PT0262-Cx	EAF	89.97	True	Analysis_set	False
PF0288-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2010	ERR045622	PF0288-C	WAF	90.09	True	Analysis_set	False
PA0225-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR063554	PA0225-C	WAF	90.15	True	Analysis_set	False
PH0244-C	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2010	ERR042215	PH0244-C	ESEA	89.91	True	Analysis_set	False
PF0425-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2011	ERR042238	PF0425-C	WAF	88.62	True	Analysis_set	False
PD0523-C	1052-PF-TRAC-WHITE	Mae Sot	Thailand	16.771015	98.704491	2012	ERR221495	PD0523-C	WSEA	90.18	True	Analysis_set	False
QG0196-C	1052-PF-TRAC-WHITE	Kinshasa	Congo DR	-4.36939	15.320977	2013	ERR404200	QG0196-C	CAF	87.16	True	Analysis_set	False
PA0197-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR063541	PA0197-C	WAF	90.31	True	Analysis_set	False
PF0332-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2010	ERR042718	PF0332-C	WAF	89.37	True	Analysis_set	False
QC0205-C	1052-PF-TRAC-WHITE	Bago	Myanmar	18.312811	96.170654	2012	ERR246550	QC0205-C,QC0205-Cx	WSEA	86.08	True	Analysis_set	False
PF0366-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2010	ERR039977	PF0366-C	WAF	89.44	True	Analysis_set	False
PF0489-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR114358	PF0489-C	WAF	90.33	True	Analysis_set	False
PT0253-C	1022-PF-MW-OCHOLLA	Chikwawa	Malawi	-16.193575	34.7715	2011	ERR234526	PT0253-C,PT0253-Cx	EAF	90.14	True	Analysis_set	False
PH0500-CW	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2009	ERR063590	PH0500-CW	ESEA	89.84	True	Analysis_set	False
PH0481-C	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2010	ERR039875	PH0481-C	ESEA	89.58	True	Analysis_set	False
PT0269-C	1022-PF-MW-OCHOLLA	Chikwawa	Malawi	-16.193575	34.7715	2011	ERR263668	PT0269-C	EAF	90.45	True	Analysis_set	False
PT0014-CW	1022-PF-MW-OCHOLLA	Chikwawa	Malawi	-16.193575	34.7715	2011	ERR045666	PT0014-CW	EAF	89.46	True	Analysis_set	False
QG0239-C	1052-PF-TRAC-WHITE	Kinshasa	Congo DR	-4.36939	15.320977	2013	ERR426041	QG0239-C	CAF	82.88	True	Analysis_set	False
PH0578-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	12.372197	103.633575	2011	ERR123836	PH0578-C	ESEA	79.82	True	Analysis_set	False
PF0707-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376193	PF0707-C	WAF	88.67	True	Analysis_set	False
PH0826-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	12.899497	102.629356	2011	ERR175506	PH0826-C	ESEA	89.57	True	Analysis_set	False
PF0074-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR018975	PF0074-C	WAF	88.76	True	Analysis_set	False
QG0200-C	1052-PF-TRAC-WHITE	Kinshasa	Congo DR	-4.36939	15.320977	2013	ERR404202	QG0200-C	CAF	81.77	True	Analysis_set	False
PT0178-C	1022-PF-MW-OCHOLLA	Zomba	Malawi	-15.3891	35.3292	2011	ERR216587	PT0178-C	EAF	90.67	True	Analysis_set	False
QC0235-C	1052-PF-TRAC-WHITE	Bago	Myanmar	18.312811	96.170654	2012	ERR426101	QC0235-C	WSEA	80.54	True	Analysis_set	False
PT0264-C	1022-PF-MW-OCHOLLA	Chikwawa	Malawi	-16.193575	34.7715	2011	ERR248961	PT0264-C,PT0264-Cx	EAF	90.08	True	Analysis_set	False
PA0152-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR055493	PA0152-C	WAF	89.42	True	Analysis_set	False
PH0305-C	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2010	ERR039941	PH0305-C	ESEA	89.78	True	Analysis_set	False
PF0525-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR114384	PF0525-C	WAF	90.19	True	Analysis_set	False
QE0432-C	1052-PF-TRAC-WHITE	Attapeu	Laos	14.819445000000002	106.820705	2011	ERR216635	QE0432-C	ESEA	84.69	True	Analysis_set	False
QE0431-C	1052-PF-TRAC-WHITE	Attapeu	Laos	14.819445000000002	106.820705	2011	ERR223076	QE0431-C	ESEA	90.12	True	Analysis_set	False
PH0326-C	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2010	ERR045649	PH0326-C	ESEA	90.0	True	Analysis_set	False
PM0160-C	1001-PF-ML-DJIMDE	Bandiagara	Mali	14.3492	-3.6105	2007	ERR211485	PM0160-C	WAF	77.38	True	Analysis_set	False
PV0267-C	1052-PF-TRAC-WHITE	Binh Phuoc	Viet Nam	11.7184	106.832469	2011	ERR180087	PV0267-C	ESEA	89.7	True	Analysis_set	False
PA0165-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR059378	PA0165-C	WAF	90.39	True	Analysis_set	False
PH0495-CW	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2009	ERR063585	PH0495-C,PH0495-CW	ESEA	90.11	True	Analysis_set	False
PF0100-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR022701	PF0100-C	WAF	90.16	True	Analysis_set	False
QE0459-C	1052-PF-TRAC-WHITE	Attapeu	Laos	14.819445000000002	106.820705	2012	ERR221476	QE0459-C	ESEA	88.23	True	Analysis_set	False
QG0282-C	1052-PF-TRAC-WHITE	Kinshasa	Congo DR	-4.36939	15.320977	2013	ERR426063	QG0282-C	CAF	74.92	True	Analysis_set	False
PD0513-C	1052-PF-TRAC-WHITE	Mae Sot	Thailand	16.771015	98.704491	2011	ERR216502	PD0513-C	WSEA	90.09	True	Analysis_set	False
PH0836-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	12.899497	102.629356	2011	ERR171575	PH0836-C	ESEA	87.44	True	Analysis_set	False
PT0256-C	1022-PF-MW-OCHOLLA	Chikwawa	Malawi	-16.193575	34.7715	2011	ERR248957	PT0256-C,PT0256-Cx	EAF	90.08	True	Analysis_set	False
PM0142-C	1001-PF-ML-DJIMDE	Faladje	Mali	13.1333	-8.3333	2007	ERR211484	PM0142-C	WAF	81.87	True	Analysis_set	False
QE0415-C	1052-PF-TRAC-WHITE	Attapeu	Laos	14.819445000000002	106.820705	2011	ERR223053	QE0415-C	ESEA	90.44	True	Analysis_set	False
PV0310-C	1052-PF-TRAC-WHITE	Binh Phuoc	Viet Nam	11.7184	106.832469	2011	ERR221512	PV0310-C	ESEA	90.38	True	Analysis_set	False
QG0190-C	1052-PF-TRAC-WHITE	Kinshasa	Congo DR	-4.36939	15.320977	2013	ERR404204	QG0190-C	CAF	85.46	True	Analysis_set	False
PD0541-C	1052-PF-TRAC-WHITE	Mae Sot	Thailand	16.771015	98.704491	2012	ERR221507	PD0541-C	WSEA	90.13	True	Analysis_set	False
PF0612-C	1083-PF-GH-CONWAY	Kintampo	Ghana	8.0564	-1.72446	2012	ERR343098	PF0612-C	WAF	90.25	True	Analysis_set	False
PF0670-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376211	PF0670-C	WAF	85.46	True	Analysis_set	False
PA0038-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018944	PA0038-C	WAF	89.49	True	Analysis_set	False
QC0169-C	1052-PF-TRAC-WHITE	Bago	Myanmar	18.312811	96.170654	2011	ERR171576	QC0169-C	WSEA	89.14	True	Analysis_set	False
PH0878-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2012	ERR216616	PH0878-C	ESEA	89.91	True	Analysis_set	False
PF0748-C	1094-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2013	ERR450123	PF0748-C	WAF	89.81	True	Analysis_set	False
PA0045-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018947	PA0045-C	WAF	89.71	True	Analysis_set	False
PF0190-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2010	ERR031075	PF0190-C	WAF	90.31	True	Analysis_set	False
QG0276-C	1052-PF-TRAC-WHITE	Kinshasa	Congo DR	-4.36939	15.320977	2013	ERR426075	QG0276-C	CAF	73.68	True	Analysis_set	False
PH0899-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	12.899497	102.629356	2012	ERR216493	PH0899-C	ESEA	89.67	True	Analysis_set	False
PF0531-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR063564	PF0531-C	WAF	90.3	True	Analysis_set	False
PH0789-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171631	PH0789-C	ESEA	84.4	True	Analysis_set	False
PF0098-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR020117	PF0098-C	WAF	87.45	True	Analysis_set	False
PH0474-CW	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2010	ERR043333	PH0474-CW	ESEA	89.13	True	Analysis_set	False
QC0201-C	1052-PF-TRAC-WHITE	Bago	Myanmar	18.312811	96.170654	2012	ERR246559	QC0201-C,QC0201-Cx	WSEA	88.77	True	Analysis_set	False
PF0590-C	1083-PF-GH-CONWAY	Kintampo	Ghana	8.0564	-1.72446	2012	ERR234553	PF0590-C,PF0590-Cx	WAF	90.39	True	Analysis_set	False
QC0228-C	1052-PF-TRAC-WHITE	Bago	Myanmar	18.312811	96.170654	2012	ERR426088	QC0228-C	WSEA	86.28	True	Analysis_set	False
PH0553-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	12.372197	103.633575	2011	ERR123811	PH0553-C	ESEA	89.43	True	Analysis_set	False
PH0788-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	13.86208	107.09701499999998	2011	ERR171654	PH0788-C	ESEA	87.08	True	Analysis_set	False
PA0012-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR021977	PA0012-C	WAF	88.55	True	Analysis_set	False
PD0558-C	1052-PF-TRAC-WHITE	Mae Sot	Thailand	16.771015	98.704491	2012	ERR223066	PD0558-C	WSEA	87.15	True	Analysis_set	False
PH0490-C	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2011	ERR039885	PH0490-C	ESEA	89.58	True	Analysis_set	False
PH0057-C	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2009	ERR015419	PH0057-C	ESEA	88.91	True	Analysis_set	False
PA0081-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR022862	PA0081-C	WAF	88.95	True	Analysis_set	False
PF0115-C	1017-PF-GH-AMENGA-ETEGO	Navrongo	Ghana	10.885568	-1.086617	2009	ERR023159	PF0115-C	WAF	88.5	True	Analysis_set	False
PF0614-C	1083-PF-GH-CONWAY	Kintampo	Ghana	8.0564	-1.72446	2012	ERR343105	PF0614-C	WAF	90.34	True	Analysis_set	False
PV0266-C	1052-PF-TRAC-WHITE	Binh Phuoc	Viet Nam	11.7184	106.832469	2011	ERR180061	PV0266-C	ESEA	89.52	True	Analysis_set	False
PT0137-C	1022-PF-MW-OCHOLLA	Chikwawa	Malawi	-16.193575	34.7715	2011	ERR216603	PT0137-C	EAF	90.42	True	Analysis_set	False
PH0830-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	12.899497	102.629356	2011	ERR171561	PH0830-C	ESEA	87.91	True	Analysis_set	False
PH0722-C	1052-PF-TRAC-WHITE	Pursat	Cambodia	12.372197	103.633575	2011	ERR171595	PH0722-C	ESEA	85.2	True	Analysis_set	False
PH0731-C	1052-PF-TRAC-WHITE	Preah Vihear	Cambodia	14.019356	104.842071	2011	ERR171599	PH0731-C	ESEA	83.48	True	Analysis_set	False
QE0429-C	1052-PF-TRAC-WHITE	Attapeu	Laos	14.819445000000002	106.820705	2011	ERR223074	QE0429-C	ESEA	89.89	True	Analysis_set	False
PH0501-CW	1044-PF-KH-FAIRHURST	Pursat	Cambodia	12.372197	103.633575	2009	ERR063591	PH0501-CW	ESEA	90.19	True	Analysis_set	False
QE0437-C	1052-PF-TRAC-WHITE	Attapeu	Laos	14.819445000000002	106.820705	2011	ERR223080	QE0437-C	ESEA	89.62	True	Analysis_set	False
QJ0002-C	1052-PF-TRAC-WHITE	Ilorin	Nigeria	8.488374	4.552897	2012	ERR246575	QJ0002-C,QJ0002-Cx	WAF	86.93	True	Analysis_set	False
PF0676-C	1083-PF-GH-CONWAY	Navrongo	Ghana	10.885568	-1.086617	2012	ERR376212	PF0676-C	WAF	88.4	True	Analysis_set	False
